"","fragment_ID","micromol.cm2.h","Priming.Treatment","Secondary.Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-21",0.361654973139056,"pH","Control","1","DL","TP3","Photo"
"2","DL-1-21",0.361654973139056,"pH","Control","1","DL","TP3","Photo"
"3","DL-1-21",0.361654973139056,"pH","Control","1","DL","TP3","Photo"
"4","DL-1-21",0.361654973139056,"pH","Control","1","DL","TP3","Photo"
"5","DL-2-16",0.123411091986063,"pH","Control","2","DL","TP3","Photo"
"6","DL-2-19",0.679128516107526,"pH","Control","2","DL","TP3","Photo"
"7","DL-2-19",0.679128516107526,"pH","Control","2","DL","TP3","Photo"
"8","DL-2-19",0.679128516107526,"pH","Control","2","DL","TP3","Photo"
"9","DL-3-16",0.901262386924128,"pH","Control","3","DL","TP3","Photo"
"10","DL-3-16",0.901262386924128,"pH","Control","3","DL","TP3","Photo"
"11","DL-3-16",0.901262386924128,"pH","Control","3","DL","TP3","Photo"
"12","MD-1-13",0.471451934537657,"pH","Control","1","MD","TP3","Photo"
"13","MD-1-6",0.17181245625594,"pH","Control","1","MD","TP3","Photo"
"14","MD-1-6",0.17181245625594,"pH","Control","1","MD","TP3","Photo"
"15","MD-1-6",0.17181245625594,"pH","Control","1","MD","TP3","Photo"
"16","MD-4-5",0.0918771436315251,"pH","Control","4","MD","TP3","Photo"
"17","MD-4-5",0.0918771436315251,"pH","Control","4","MD","TP3","Photo"
"18","MD-4-5",0.0918771436315251,"pH","Control","4","MD","TP3","Photo"
"19","MD-4-5",0.0918771436315251,"pH","Control","4","MD","TP3","Photo"
"20","MD-5-1",0.387689094175672,"pH","Control","5","MD","TP3","Photo"
