Run,Temp,Tank,Date,Start.time,Stop.time,Light_Value,Light_Percent,notes
1,27,Acclimation,20240708,7:20:49,7:41:22,7,331,
1,27,Acclimation,20240708,7:42:03,8:03:57,0,0,
2,27,Acclimation,20240708,8:56:52,9:16:15,7,331,
2,27,Acclimation,20240708,9:18:35,9:38,0,0,
3,27,Acclimation,20240708,10:24:23,10:44:22,7,331,
3,27,Acclimation,20240708,10:45:19,11:05:23,0,0,
4,27,Acclimation,20240708,11:51,12:17:50,7,331,RAN 20 MINUTES IN DARK THINK IT WAS p
4,27,Acclimation,20240708,12:18:55,12:39:52,0,0,
5,27,Acclimation,20240708,13:22:30,13:43:08,7,331,
5,27,Acclimation,20240708,13:44:10,14:04:46,0,0,
6,27,Acclimation,20240708,14:45:45,15:12:26,7,331,
6,27,Acclimation,20240708,15:13:26,15:33:01,0,0,
7,27,Acclimation,20240708,16:07:42,16:29:19 AM,7,331,
7,27,Acclimation,20240708,16:30:12,16:50:40,0,0,
8,27,Acclimation,20240708,17:58:04,18:18:44,7,331,
8,27,Acclimation,20240708,18:19:27,18:43:05,0,0,
9,27,Acclimation,20240708,19:53:22,20:14:33,7,331,
9,27,Acclimation,20240708,20:15:19,20:36:14,0,0,
10,27,Acclimation,20240708,21:06:36,21:26:00,7,331,
10,27,Acclimation,20240708,21:26:45,21:46:00,0,0,
11,27,Acclimation,20240709,6:36:07,6:56:31,7,331,
11,27,Acclimation,20240709,6:57:24,7:17:24,0,0,
12,27,Acclimation,20240709,7:53:54,8:18:25,7,331,
12,27,Acclimation,20240709,8:19:07,8:39:33,0,0,
13,27,Acclimation,20240709,9:48:37,10:09:01,7,331,
13,27,Acclimation,20240709,10:10:05,10:30:06,0,0,
14,27,Acclimation,20240709,10:58:40,11:19:53,7,331,
14,27,Acclimation,20240709,11:20:39,11:40:09,0,0,
15,27,Acclimation,20240709,12:05:47,12:32:35,7,331,
15,27,Acclimation,20240709,12:33:24,12:53:00,0,0,
16,27,Acclimation,20240709,14:03:07,14:26:59,7,331,
16,27,Acclimation,20240709,14:27:50,14:48:04,0,0,
17,27,Acclimation,20240709,15:23:43,15:43:54,7,331,
17,27,Acclimation,20240709,15:50,16:10:08,0,0,
18,27,Acclimation,20240709,16:44:03,17:05:03,7,331,
18,27,Acclimation,20240709,17:05:54,17:26:00,0,0,
19,27,Acclimation,20240709,18:13:25,18:35:59,7,331,
19,27,Acclimation,20240709,18:36:42,19:11:36,0,0,
20,27,Acclimation,20240709,20:27:23,20:47:11,7,331,
20,27,Acclimation,20240709,20:48:20,21:07:00,0,0,
