Species,timepoint,Inital.Treatment,Secondary.Treatment,Tank_Group,chla_mean,chla_se,chlc2_mean,chlc2_se
Diploria labrinthiformis,TP2,Control,NONE,Tank_4_5,0.8515428510234699,0.16002470270324234,0.24958366444094748,0.05270427577347045
Diploria labrinthiformis,TP2,High_Temp,NONE,Tank_6_7,0.41274248166619865,0.1968581263466412,0.13891189517177074,0.06875641000922046
Diploria labrinthiformis,TP2,Low_pH,NONE,Tank_2_3,0.769450467174861,0.21385558457087755,0.2288318237535596,0.07285801072493786
Diploria labrinthiformis,TP3,Control,NONE,Tank_4_5,0.5697754133797974,0.25014825871425866,0.15063907100520263,0.07658746214977372
Diploria labrinthiformis,TP3,High_Temp,NONE,Tank_6_7,0.6888624808436914,0.28026945741923404,0.19687815759476757,0.09000882067391094
Diploria labrinthiformis,TP3,Low_pH,NONE,Tank_2_3,0.6304641235734508,0.20948115108729337,0.19659564041201283,0.07544058359346523
Diploria labrinthiformis,TP4,Control,Control,Tank_4_5,0.5847194550113515,0.13136716566889503,0.1644559321370783,0.04154331455144872
Diploria labrinthiformis,TP4,Control,High_Temp,Tank_4_5,0.6374882895680841,0.06534958701046956,0.224056774270509,0.030150828289379584
Diploria labrinthiformis,TP4,High_Temp,Control,Tank_6_7,0.9435443487824986,0.047462681541076385,0.3201226083097083,0.031714981342177005
Diploria labrinthiformis,TP4,High_Temp,High_Temp,Tank_6_7,0.5303086214963072,0.1632773508614066,0.16022439411362094,0.05836677288974579
Diploria labrinthiformis,TP4,Low_pH,Control,Tank_2_3,0.9154647197030606,0.09696275765440496,0.26567262703430367,0.02119637193483889
Diploria labrinthiformis,TP4,Low_pH,High_Temp,Tank_2_3,0.701738370047836,0.0755104564218415,0.2147727928165947,0.026384109421751768
Madracis decactis,TP2,Control,NONE,Tank_4_5,0.6412702776723671,0.5116220493825041,0.11290991878226687,0.08136438245994314
Madracis decactis,TP2,High_Temp,NONE,Tank_6_7,0.3269348032065456,0.14341450066147177,0.07058415670727487,0.05914909225407439
Madracis decactis,TP2,Low_pH,NONE,Tank_2_3,0.48424075572657355,0.24930032407303376,0.11660053642286967,0.07059809380145705
Madracis decactis,TP3,Control,NONE,Tank_4_5,0.6999485403256402,0.26328985936305144,0.19934868693239688,0.08714422385067164
Madracis decactis,TP3,High_Temp,NONE,Tank_6_7,0.42023353165552035,0.17342061831039854,0.10032163059368586,0.059211481388355164
Madracis decactis,TP3,Low_pH,NONE,Tank_2_3,0.7533686892048287,0.20842884505305015,0.20116352324390796,0.04175465986719999
Madracis decactis,TP4,Control,Control,Tank_4_5,0.7339574988430649,0.12470491651508235,0.19329711580606668,0.04668830354985699
Madracis decactis,TP4,Control,High_Temp,Tank_4_5,0.4645231848771699,0.08235322923665836,0.16721351482663033,0.03140350651658022
Madracis decactis,TP4,High_Temp,Control,Tank_6_7,0.685504194676396,0.10566961462851238,0.16207632807978214,0.03522689509882648
Madracis decactis,TP4,High_Temp,High_Temp,Tank_6_7,0.31201349773760423,0.1527370768403156,0.06443369954907617,0.05373228438959483
Madracis decactis,TP4,Low_pH,Control,Tank_2_3,0.6431989090193868,0.18950172239931967,0.15335278133467675,0.0319291695945844
Madracis decactis,TP4,Low_pH,High_Temp,Tank_2_3,0.28212902179997584,0.06301992364843811,0.08795153079051697,0.020662509319965834
